GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,Comment,CircularType
GRB 250314A,,,201.30136,-5.16436,3.5,39734.0,2025-03-14,02:55:00,40012.0,,,,,"40553, 40012, 39779, 39732, 40134, 39734, 39954",,"7.27, 7.3, 7.21",,"Detection, Localization, Gamma-ray, Infrared, Redshift, Host Galaxy, Upper Limit, Observation; Detection, Localization, Gamma-ray, Optical, Radio, Redshift, Observation; Localization, Optical, Radio, Redshift; Detection, Gamma-ray, Optical, Infrared, Redshift, Host Galaxy, Observation; Localization, Radio, Redshift, Upper Limit, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, Optical, Radio, Redshift"
GRB 250311A,EP250311a,EP/WXT,224.691,-2.85,0.0466666666666666,39664.0,2025-03-11,01:55:13,39664.0,150.0,,39664.0,,39664,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 250309B,,,210.80129,-8.50302,0.0008333333333333,39649.0,2025-03-09,03:28:33.011000,39647.0,,,,,"39649, 39648, 39647",,1.898,,"Detection, Localization, Refined Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Refined Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Upper Limit, Observation; Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250226A,EP250226a,EP/WXT,224.2641,20.9754,0.0027777777777777,39513.0,2025-02-26,06:34:54,39513.0,22.0,,39513.0,"L?, L","39513, 39487, 39482, 39524, 39530",10-1000 keV,3.315,,"Detection, Refined Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, Gamma-ray, X-ray, Optical, Timing, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 250225B,,,,,,40024.0,2025-02-25,,40024.0,,,,,40024,,0.95,,"Detection, Localization, Optical, Infrared, Timing, Redshift, Host Galaxy, Observation"
GRB 250221A,,,,,,39413.0,2025-02-21,,39413.0,,,,,"39413, 39418",,"0.34, 0.768",,"Detection, Localization, Optical, Redshift, Observation; Detection, Localization, Optical, Infrared, Redshift, Observation"
GRB 250215A,EP250215a,EP/WXT,156.343,-27.704,0.0483333333333333,39329.0,2025-02-15,02:32:03,39329.0,,,,"L, L?","39348, 39344, 39343, 39333, 39329, 39366, 39345",,4.61,,"Detection, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, Optical, Redshift, Upper Limit, Observation; Detection, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift; Detection, Localization, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, X-ray, Optical, Timing, Redshift, Observation; Detection, X-ray, Optical, Redshift, Upper Limit"
GRB 250207A,,,,,0.42,39199.0,2025-02-07,,39199.0,,,,,39199,,,,"Detection, Localization, Gamma-ray, Optical, Redshift"
GRB 250205A,EP250205a,EP/WXT,113.5107,32.3718,0.0416666666666666,39165.0,2025-02-05,21:31:28,39165.0,105.0,,39171.0,,"39165, 39160, 39171",10-1000 keV,3.55,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift, Observation"
GRB 250129A,,,,,0.43,39085.0,2025-01-29,,39085.0,,,,,"39085, 39071, 39073, 39089, 39078",,"2.15, 2.151",,"Detection, Localization, Gamma-ray, X-ray, Optical, Redshift; Detection, Optical, Redshift, Observation; Detection, Localization, Optical, Redshift, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 250114A,,,,,,38945.0,2025-01-14,,38945.0,,,,,"38945, 38934, 38943",,4.732,,"Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Detection, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation"
GRB 250108B,,,,,,38877.0,2025-01-08,,38877.0,,,,,"38877, 38855",,"0.2, 0.29",,"Detection, Localization, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 250103B,,,,,0.4,38820.0,2025-01-03,,38820.0,,,,,38820,,1.416,,"Detection, Localization, Optical, Redshift, Host Galaxy, Observation"
GRB 250103A,,,,,,38814.0,2025-01-03,,38814.0,,,,,38814,,4.01,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift"
GRB 250101A,,,,,,38773.0,2025-01-01,,38773.0,,,,,"38773, 38810, 38775, 38759, 38776, 38769",,"2.49, 2.481",,"Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift; Detection, Gamma-ray, Optical, Spectroscopy, Redshift; Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 241228B,,,,,,38704.0,2024-12-28,,38704.0,19.5,,38714.0,,"38704, 38714",10-1000 keV,2.674,,"Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 241217A,EP241217b,EP/WXT,84.1499,-25.3003,0.0466666666666666,38606.0,2024-12-17,16:58:04.349000,38606.0,,,,,"38637, 38606",,1.879,,"Detection, Optical, Infrared, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 241209B,,,,,,38646.0,2024-12-09,,38646.0,,,,L,38646,,0.173?0.575?3.831?,it is difficult to provide a secure redshift,"Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 241209A,,,,,,38535.0,2024-12-09,,38535.0,0.1,,38502.0,S,"38535, 38484, 38502, 38538, 38487",10-1000 keV,"0.78, 1.49",,"Localization, Refined Localization, X-ray, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Localization, X-ray, Infrared, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Infrared, Spectroscopy, Redshift, Observation"
GRB 241120A,,,,,0.2,38291.0,2024-11-20,,38291.0,,,,,38291,,0.36,,"Detection, Localization, Gamma-ray, Optical, Redshift, Observation"
GRB 241113B,EP241113b,EP/WXT,110.233,46.8,0.0416666666666666,38214.0,2024-11-13,11:22:50,38214.0,,,,,38214,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation"
GRB 241105A,,,,,,38097.0,2024-11-05,,38097.0,1.4,,38104.0,L,"38097, 38654, 38167, 38104",10-1000 keV,"2.681, 2.702",,"Detection, Refined Localization, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Refined Localization, Gamma-ray, Optical, Spectroscopy, Redshift; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 241104A,EP241104a,EP/WXT,32.574,31.555,0.045,38081.0,2024-11-04,18:30:15,38081.0,,,,,38081,0.5-4 keV,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation"
GRB 241030B,,,,,,37995.0,2024-10-30,,37995.0,,,,,"37995, 38004",,">3.3, 2.82",,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 241030A,EP241030a,EP/WXT,343.013,80.449,0.04,37997.0,2024-10-30,06:33:18,37997.0,,,,,"37997, 38035, 38027, 37988, 37959, 38041",,"1.41, 1.4, 1.411",,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Observation; Detection, Optical, Redshift; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 241029A,,,,,,37950.0,2024-10-29,21:32:51,37950.0,,,,,"37950, 37948",,1.072,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Gamma-ray, Spectroscopy, Redshift, Upper Limit"
GRB 241026A,EP241026a,EP/WXT,293.4008,57.9857,0.0027777777777777,37909.0,2024-10-26,22:41:28,37909.0,150.0,,37909.0,,"37928, 37909, 37925, 37918, 37916",,"2.79, 2.791",,"Detection, Gamma-ray, Optical, Redshift; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation; Detection, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation; Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 241025A,EP241025a,EP/WXT,333.6408,83.5772,0.0027777777777777,37864.0,2024-10-25,01:36:45,37864.0,,,,,"37864, 37866, 37888",,4.2,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation"
GRB 241010A,,,,,,38080.0,2024-10-10,,38080.0,,,,,38080,,0.977,,"Optical, Redshift, Host Galaxy"
GRB 241001A,,,,,,37677.0,2024-10-01,,37677.0,8.0,,37713.0,,"37677, 37713, 37867",5-20 keV,"0.5727, 0.573, 0.57",,"Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift; Detection, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 240930B,EP240930a,EP/WXT,319.899,41.303,0.035,37648.0,2024-09-30,17:17:50,37648.0,200.0,,37648.0,,37648,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation"
GRB 240916A,,,,,,37532.0,2024-09-16,,37532.0,32.0,,37535.0,,"37532, 37535",10-1000 keV,2.61,,"Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 240912A,,,,,,37479.0,2024-09-12,05:20:43,37471.0,,,,,"37479, 37469, 37476, 37471",,"1.234, 1.23",,"Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift"
GRB 240910A,,,,,,37467.0,2024-09-10,03:39:07,37467.0,,,,L,37467,,1.46,,"Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 240825A,,,,,,37536.0,2024-08-25,,37536.0,4.0,,37536.0,L,"37536, 37310, 37293, 37367, 37294",,"0.659, 0.66",,"Detection, X-ray, Optical, Spectroscopy, Timing, Redshift; Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Gamma-ray, Optical, Redshift, Upper Limit, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation"
GRB 240821A,,,,,,37319.0,2024-08-21,,37319.0,,,,S,"37319, 37731, 37369, 37931",,"0.488, 0.238, 1.18?0.62?0.24?","z = 0.238 (#37731), not ambiguous z from #37369 and #37319","Detection, Localization, X-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Redshift, Host Galaxy, Observation; Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Upper Limit, Observation; Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 240809A,,,,,,37122.0,2024-08-09,,37122.0,,,,,"37122, 37129",,"1.495, 1.494",,"Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Optical, Redshift, Host Galaxy, Observation"
,EP260703a,EP/WXT,274.7265,-62.6004,0.045,45070.0,2026-07-03,03:13:57,45070.0,50.0,,45070.0,,45070,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260628b,EP/WXT,327.606,-29.324,0.0433333333333333,45069.0,2026-06-28,10:04:53,45069.0,1000.0,,45069.0,,45069,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260628a,EP/WXT,312.9884,-34.3748,0.0466666666666666,45054.0,2026-06-28,17:08:08,45054.0,30.0,,45054.0,,45054,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260626a,EP/WXT,277.4417,21.2403,0.045,45047.0,2026-06-26,05:25:04,45047.0,,,,,45047,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260623a,EP/WXT,328.2698,12.7938,0.0027777777777777,45035.0,2026-06-23,02:52:27,45035.0,103.0,,45035.0,,"45022, 45020, 45024, 45035, 45027",,"0.703, <3",,"Detection, Optical, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, Localization, Optical, Redshift, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Observation"
,EP260610b,EP/WXT,267.6268,46.5388,0.0027777777777777,44912.0,2026-06-10,12:44:25,44912.0,230.0,,44912.0,,"44915, 44912, 44895",,<2.1,,"Detection, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, Refined Localization, X-ray, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260610a,EP/WXT,306.1022,-25.9045,0.0027777777777777,44908.0,2026-06-10,04:41:46,44908.0,450.0,,44908.0,,"44908, 44889",,,,"Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260605a,EP/WXT,273.36,-40.392,0.0533333333333333,44847.0,2026-06-05,09:31:00,44847.0,,,,,44847,,,,"Detection, Localization, X-ray, Spectroscopy, Timing, Observation"
,EP260603a,EP/WXT,229.721,-26.94,0.0466666666666666,44814.0,2026-06-03,17:51:12,44814.0,350.0,,44814.0,,44814,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260602d,EP/WXT,267.958,18.173,0.0383333333333333,44796.0,2026-06-02,21:13:25,44796.0,200.0,,44796.0,,44796,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260602c,EP/WXT,134.673,-75.673,0.0383333333333333,44792.0,2026-06-02,09:06:44,44792.0,200.0,,44792.0,,44792,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260602b,EP/WXT,273.487,7.595,0.05,44786.0,2026-06-02,17:53:12,44786.0,60.0,,44786.0,,44786,,,,"Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260602a,EP/WXT,240.886,50.563,0.05,44770.0,2026-06-02,08:11:20,44770.0,,,,,44770,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260530a,EP/WXT,186.11,28.784,0.045000000000000005,,2026-05-30,07:29:02,,,,,,,,,,
,EP260526a,EP/WXT,236.063,-23.771,0.04,44712.0,2026-05-26,09:43:34,44712.0,140.0,,44712.0,,44712,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260518a,EP/WXT,299.034,-48.618,0.0027777777777777,44690.0,2026-05-18,13:44:21,44690.0,,,,,"44695, 44690",,<2.75,,"Detection, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260514a,EP/WXT,214.2955,49.3733,0.0027777777777777,44641.0,2026-05-14,16:56:06,44613.0,500.0,,44613.0,,"44641, 44613",,,,"Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260512a,EP/WXT,223.899,28.432,0.0433333333333333,44594.0,2026-05-12,08:31:32,44594.0,200.0,,44594.0,,44594,,,,"Detection, Localization, X-ray, Timing, Observation"
,EP260509a,EP/WXT,239.4813,-18.4328,0.0463333333333333,44517.0,2026-05-09,13:44:02,44517.0,,,,,44517,,,,"Detection, Localization, X-ray, Spectroscopy, Timing, Observation"
,EP260507a,EP/WXT,206.899,-22.2364,0.0027777777777777,44500.0,2026-05-07,13:47:44,44500.0,15.0,,44500.0,,"44500, 44488",,,,"Detection, Refined Localization, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, X-ray, Observation"
,EP260502a,EP/WXT,272.19,-76.244,0.05,44440.0,2026-05-02,06:08:51,44440.0,,,,,44440,,,,"Detection, Localization, X-ray, Observation"
,EP260430a,EP/WXT,178.3355,-10.2146,0.0027777777777777,44436.0,2026-04-30,02:32:47,44427.0,,,,,"44427, 44436",,,,"Detection, X-ray, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260429a,EP/WXT,240.629,-9.588,0.0316666666666666,44426.0,2026-04-29,14:41:11,44426.0,250.0,,44426.0,,44426,,,,"Detection, Localization, X-ray, Spectroscopy, Timing, Observation"
,EP260417b,EP/WXT,151.114,51.964,0.05,44323.0,2026-04-17,01:21:04,44323.0,230.0,,44323.0,,44323,,,,"Detection, Localization, X-ray, Observation"
,EP260416a,EP/WXT,198.8351,31.5972,0.0027777777777777,44324.0,2026-04-16,05:25:24,44324.0,250.0,,44324.0,,"44336, 44319, 44419, 44398, 44307, 44339, 44324",,"1.909, <2.5, 1.91",,"Optical, Redshift, Observation; Detection, Optical, Redshift, Observation; Detection, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, X-ray, Optical, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260409a,EP/WXT,172.9096,-9.3457,0.0027777777777777,44251.0,2026-04-09,00:16:43,44251.0,100.0,,44251.0,,"44240, 44251",,,,"Detection, Localization, X-ray, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260405a,EP/WXT,184.423,-20.156,0.05,44222.0,2026-04-05,03:46:27,44222.0,150.0,,44222.0,,44222,,,,"Detection, Localization, X-ray, Spectroscopy, Timing, Upper Limit, Observation"
,EP260403a,EP/WXT,219.1556,-25.5045,0.0027777777777777,44214.0,2026-04-03,10:27:45,44214.0,50.0,,44214.0,,"44214, 44204",0.5-4 keV,,,"Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260329b,EP/WXT,181.3131,4.3505,0.0027777777777777,44155.0,2026-03-29,10:35:25,44155.0,35.0,,44155.0,,"44142, 44155",,,,"Detection, Localization, X-ray, Optical, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260329a,EP/WXT,5.459,82.513,0.0533333333333333,44141.0,2026-03-29,03:30:40,44141.0,,,,,44141,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260327a,EP/WXT,215.3694,42.1379,0.0027777777777777,44136.0,2026-03-27,05:54:41,44136.0,100.0,,44136.0,,"44136, 44126",,,,"Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260321a,EP/WXT,149.9287,0.4177,0.0027777777777777,44075.0,2026-03-21,12:23:07,44075.0,432.0,,44075.0,,"44082, 44068, 44092, 44087, 44107, 44070, 44089, 44075, 44295",,"0.0343, 0.0344, 0.034, 0.0345",,"Detection, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, X-ray, Spectroscopy, Redshift, Observation; Detection, X-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Redshift, Host Galaxy, Observation; Detection, X-ray, Optical, Infrared, Redshift, Observation"
,EP260316a,EP/WXT,226.9819,27.4455,0.0027777777777777,44034.0,2026-03-16,12:32:52,44034.0,22.0,,44034.0,,44034,,,,"Detection, Localization, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Observation"
,EP260314a,EP/WXT,211.8426,-23.4577,0.0027777777777777,44016.0,2026-03-14,22:51:20,44016.0,16.0,,44016.0,,"44010, 44016",,,,"Detection, Localization, X-ray, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260306a,EP/WXT,145.9497,15.6942,0.0027777777777777,43937.0,2026-03-06,01:28:20,43937.0,60.0,,43937.0,,"43937, 43934, 43930",,"0.0, 4.773",,"Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Optical, Observation"
,EP260302a,EP/WXT,133.015,-66.007,0.05,43899.0,2026-03-02,23:39:22,43899.0,,,,,"43932, 43899",,<2.67,,"Detection, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, Localization, X-ray, Observation"
,EP260227a,EP/WXT,223.101,-11.408,0.0431,43869.0,2026-02-27,20:07:52,43869.0,250.0,,43869.0,,"43869, 43876",,2.714,,"Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation; Detection, Optical, Spectroscopy, Redshift, Observation"
,EP260224a,EP/WXT,175.2,-41.415,0.05,43828.0,2026-02-24,17:03:42,43828.0,,,,,43828,,,,"Detection, Localization, X-ray, Observation"
,EP260223a,EP/WXT,92.774,56.577,0.045,43817.0,2026-02-23,11:20:27,43817.0,130.0,,43817.0,,43817,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260221a,EP/WXT,178.749,-20.978,0.05,43791.0,2026-02-21,11:39:48,43791.0,550.0,,43791.0,,43791,,,,"Detection, Localization, X-ray, Observation"
,EP260214b,EP/WXT,191.26,23.857,0.05,43744.0,2026-02-14,22:03:34,43744.0,50.0,,43744.0,,"43752, 43745, 43744, 43760, 43749, 43775, 43750",,"1.208, 1.04",,"Detection, Optical, Redshift, Observation; Detection, Localization, X-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Spectroscopy, Observation; Detection, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, X-ray, Optical, Redshift, Observation"
,EP260214a,EP/WXT,201.25,-29.04,0.05,43742.0,2026-02-14,20:37:00,43742.0,60.0,,43742.0,,"43845, 43742",,0.18,,"Detection, Localization, X-ray, Radio, Redshift, Observation; Detection, Localization, X-ray, Observation"
,EP260213a,EP/WXT,167.008,3.965,0.05,43729.0,2026-02-13,19:58:00,43729.0,40.0,,43729.0,,43729,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260210a,EP/WXT,169.84,45.408,0.05,43681.0,2026-02-10,10:23:01,43681.0,,,,,43681,,,,"Detection, Localization, X-ray, Observation"
,EP260209a,EP/WXT,159.683,28.312,0.05,43693.0,2026-02-09,13:44:06,43693.0,,,,,43693,,,,"Detection, Localization, X-ray, Observation"
,EP260131a,EP/WXT,149.9017,-3.3074,0.0027777777777777,43583.0,2026-01-31,03:28:00.150000,43583.0,340.0,,43583.0,,"43626, 43574, 43582, 43583",,"0.937, <1.54",,"Detection, Localization, Optical, Radio, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260128a,EP/WXT,128.3253,-10.275,0.0027777777777777,43554.0,2026-01-28,23:38:19,43554.0,100.0,,43554.0,,"43555, 43554, 43549",,>5,,"Detection, Localization, Optical, Infrared, Redshift, Upper Limit, Observation; Detection, Localization, Refined Localization, X-ray, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260126a,EP/WXT,103.737,37.699,0.035,43520.0,2026-01-26,04:25:01,43520.0,1400.0,,43520.0,,43520,0.5-4 keV,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260119a,EP/WXT,158.082,65.505,0.0383333333333333,43447.0,2026-01-19,00:13:48,43447.0,,,,,"43455, 43469, 43447",0.5-4 keV,"5.62, 5.47",,"Detection, Optical, Redshift, Observation; Detection, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260116a,EP/WXT,113.768,6.329,0.05,43424.0,2026-01-16,00:08:51,43424.0,,,,,43424,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260110a,EP/WXT,199.4321,65.849,0.0027777777777777,43367.0,2026-01-10,11:56:58,43367.0,85.0,,43367.0,,"43363, 43367",,,,"Detection, Localization, X-ray, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP260105b,EP/WXT,158.387,17.616,0.05,43349.0,2026-01-05,18:47:36,43349.0,,,,,43349,,,,"Detection, Localization, Refined Localization, X-ray, Spectroscopy, Observation"
,EP260105a,EP/WXT,181.0148,22.7092,0.0027777777777777,43333.0,2026-01-05,05:46:19,43333.0,100.0,,43333.0,,"43333, 43327",,,,"Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP260104a,EP/WXT,178.535,16.491,0.0466666666666666,43330.0,2026-01-04,10:25:44,43330.0,,,,,43330,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP260101a,EP/WXT,46.0631,39.4376,0.0027777777777777,43296.0,2026-01-01,06:31:46,43296.0,200.0,,43296.0,,"43296, 43288",,,,"Detection, Localization, Refined Localization, X-ray, Spectroscopy, Observation; Detection, Localization, X-ray, Observation"
,EP251229a,EP/WXT,124.1027,37.2068,0.0027777777777777,43264.0,2025-12-29,19:54:09,43264.0,173.0,,43264.0,,"43253, 43264",,,,"Detection, Localization, X-ray, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
,EP251222a,EP/WXT,62.5014,-1.4795,0.0027777777777777,43216.0,2025-12-22,14:59:14,43216.0,,,,,"43235, 43200, 43227, 43216",,0.505,,"Detection, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, Localization, X-ray, Observation; Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Refined Localization, X-ray, Spectroscopy, Observation"
,EP251221a,EP/WXT,104.531,23.374,0.05,43178.0,2025-12-21,21:39:06,43178.0,100.0,,43178.0,,43178,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP251220a,EP/WXT,17.322,19.08,0.0366666666666666,43162.0,2025-12-20,08:26:43,43162.0,,,,,"43170, 43162, 43184",,"<3.4, 2.375",,"Detection, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, Localization, X-ray, Spectroscopy, Observation; Detection, Optical, Spectroscopy, Redshift, Upper Limit, Observation"
,EP251214b,EP/WXT,144.358,-22.884,0.0366666666666666,43125.0,2025-12-14,07:19:13.900000,43125.0,,,,,"43125, 43126",,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
,EP251212a,EP/WXT,134.041,-23.279,0.04,43076.0,2025-12-12,06:12:52,43076.0,100.0,,43076.0,,43076,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
