GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,z_CircularID,Comment,CircularType
GRB 251231A,,Fermi/GBM,312.1,-46.0,16.4,43274,2025-12-31,00:25:42,43274,,,,S?,43274,,,,,"Detection, Localization, Gamma-ray"
GRB 251230A,EP251230a,"GECAM-B, Konus-Wind, Insight-HXMT/HE, Swift/BAT",179.894,11.415,0.05,43252,2025-12-30,01:21:41,43252,80.0,,43252.0,L,"43301, 43405, 43299, 43252",,"<2.2, 1.73","43279, 43269, 43271",,"Detection, X-ray, Timing; Detection, Gamma-ray, X-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing"
GRB 251228A,,Fermi/GBM,150.2,49.8,10.7,43246,2025-12-28,00:42:10,43246,,,,S?,43246,,,,,"Detection, Localization, Gamma-ray"
GRB 251226A,,"Glowbug, SVOM/GRM, GECAM-B",260.2,47.0,9.1,43244,2025-12-26,08:01:02.528000,43251,9.2,,43251.0,,"43251, 43245, 43244",15-5000 keV,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Timing, Upper Limit"
GRB 251221B,,Fermi/GBM,274.7,-21.4,7.2,43173,2025-12-21,18:46:21,43173,,,,L?,43173,,,,,"Detection, Localization, Gamma-ray"
GRB 251221A,,"Fermi/GBM, Swift/BAT",101.422,0.738,0.0233333333333333,43234,2025-12-21,05:24:28,43164,56.86,7.05,43234.0,L?,"43164, 43234, 43166, 43174","15-150 keV, 10-1000 keV",,,,"Detection, Localization, Gamma-ray; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Upper Limit; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 251220B,,"SVOM/GRM, IPN, Fermi/GBM",251.4,47.9,6.4,43160,2025-12-20,23:38:04,43160,0.28,0.15,43171.0,"S, S?","43171, 43192, 43160",15-5000 keV,,,,"Detection, Localization, Gamma-ray, Optical, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 251220A,,MAXI/GSC,19.609,-15.607,0.38,43156,2025-12-20,10:37:16,43156,,,,,43156,,,,,"Detection, Localization, X-ray, Upper Limit"
GRB 251219A,,"GECAM-B, SVOM/GRM",274.4,-4.8,4.3,43158,2025-12-19,02:36:31.550000,43158,0.22,0.16,43158.0,S,"43158, 43159",15-5000 keV,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Optical, Timing, Observation"
GRB 251217A,,Fermi/GBM,325.8,20.9,6.6,43146,2025-12-17,04:35:34,43146,,,,L?,43146,,,,,"Detection, Localization, Gamma-ray"
GRB 251216A,,Fermi/GBM,290.9,52.0,9.3,43139,2025-12-16,09:38:09,43139,,,,L?,43139,,,,,"Detection, Localization, Gamma-ray"
GRB 251215A,,"Fermi/GBM, Swift/BAT, Glowbug",122.6526,-36.7395,0.05,43114,2025-12-15,04:21:21,43133,76.0,,43133.0,L?,"43144, 43114, 43104, 43133",10-1000 keV,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 251214D,,"AstroSat/CZTI, GECAM-B",,,,43109,2025-12-14,21:24:17.950000,43121,28.5,6.5,43121.0,L,"43109, 43121",20-200 keV,,,,"Detection, Timing; Detection, Timing, Observation"
GRB 251214C,,Fermi/GBM,346.3,41.0,6.0,43096,2025-12-14,09:17:32.510000,43096,,,,L?,43096,,,,,"Detection, Localization, Gamma-ray"
GRB 251214B,,"Fermi/GBM, GECAM-B, Swift/BAT",330.222,-9.155,0.02,43129,2025-12-14,09:02:17,43089,10.0,,43089.0,L?,"43120, 43113, 43089, 43129, 43088","10-1000 keV, 15-150 keV","0.7, 0.709","43103, 43123",,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray"
GRB 251214A,EP251214a,"GECAM-B, AstroSat/CZTI, Fermi/GBM",152.4,17.9,4.9,43085,2025-12-14,00:11:14.910000,43107,1.4,1.0,43107.0,L?,"43101, 43107, 43085",20-200 keV,,,,"Detection, Gamma-ray, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 251213A,,"SVOM/GRM, GRID, AstroSat/CZTI, GECAM-B",296.5,-11.9,5.6,43106,2025-12-13,12:30:04,43130,35.5,3.2,43130.0,L,"43111, 43130, 43108, 43116, 43106","15-5000 keV, 20-200 keV",,,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing, Observation; Detection, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Timing, Upper Limit"
GRB 251212A,EP251212a,AstroSat/CZTI,,,,43082,2025-12-12,06:13:13.220000,43082,5.6,3.8,43082.0,,43082,20-200 keV,,,,"Detection, Gamma-ray, X-ray, Timing"
GRB 251211B,,"AstroSat/CZTI, Fermi/GBM",176.2,-11.6,4.5,43072,2025-12-11,20:32:04,43072,,,,L?,"43080, 43072",100-500 keV,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 251211A,,Fermi/GBM,181.9,-32.3,6.4,43069,2025-12-11,02:40:59,43069,,,,L?,43069,,,,,"Detection, Localization, Gamma-ray"
GRB 251209A,,"Fermi/GBM, Insight-HXMT/HE, GECAM-B, NuSTAR, AstroSat/CZTI",214.2,43.1,1.0,43048,2025-12-09,13:24:03,43048,57.0,,43068.0,"L?, L","43048, 43119, 43122, 43078, 43066, 43068","20-200 keV, 10-1000 keV",,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 251208C,,"Fermi/GBM, SVOM/GRM, GECAM-B",312.8,-30.7,4.8,43030,2025-12-08,12:52:32,43030,0.36,0.08,43041.0,"S?, S","43030, 43041, 43055",15-5000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing, Observation"
GRB 251208B,,"Fermi/LAT, Fermi/GBM, Swift/BAT",228.48,29.07,0.07,43034,2025-12-08,10:17:17,43028,62.5,,43046.0,L?,"43034, 43046, 43028, 43033",10-1000 keV,,,,"Detection, Localization, Gamma-ray, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, X-ray, Optical, Observation"
GRB 251208A,,"SVOM/GRM, GECAM-B, AstroSat/CZTI, Glowbug, Fermi/GBM",32.8,-66.7,3.9,43027,2025-12-08,09:25:56.376000,43058,2.05,,43058.0,"S, S?","43042, 43054, 43060, 43058, 43027","15-5000 keV, 100-500 keV",,,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 251205A,,"Swift/BAT, Fermi/GBM",200.26,29.906,0.035,43018,2025-12-05,23:39:47,43005,30.0,,43005.0,,"43005, 43018, 43059",15-150 keV,"1.1, 0.25","43020, 43059, 43008",,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Redshift"
GRB 251203A,,"Insight-HXMT/HE, SVOM/GRM, Fermi/GBM, AstroSat/CZTI, GECAM-B",165.6,-46.9,2.2,42968,2025-12-03,08:18:45.150000,42995,14.5,2.5,42995.0,"L?, L","43002, 42995, 42968, 42991, 42996","15-5000 keV, 20-200 keV",,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Timing, Observation"
GRB 251202B,,Fermi/GBM,347.2,-23.3,4.5,42961,2025-12-02,18:27:03,42961,,,,S?,42961,,,,,"Detection, Localization, Gamma-ray"
GRB 251202A,EP251202a,"Insight-HXMT/HE, AstroSat/CZTI, SVOM/GRM, Fermi/GBM",120.3,43.5,2.8,42933,2025-12-02,01:50:52,42970,25.0,12.0,42970.0,"L, L?","42970, 42967, 42997, 42957, 42933","20-200 keV, 15-5000 keV, 10-1000 keV",2.785,"42999, 42939, 42948, 42957, 42943",,"Detection, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Localization, Gamma-ray"
GRB 251201B,,"Swift/BAT, Fermi/GBM, GECAM-B, Insight-HXMT/HE",6.409,-44.237,0.05,42924,2025-12-01,16:26:24,42971,42.0,11.0,42971.0,"L?, L","42924, 42923, 42965, 42952, 42971",10-1000 keV,<2,42994,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing, Observation; Detection, Gamma-ray, X-ray, Timing"
GRB 251201A,,"MAXI/GSC, GECAM-B, SVOM/GRM",309.032,30.413,0.2,42913,2025-12-01,04:36:59,42913,47.7,15.6,42945.0,,"42913, 42945, 42932",15-5000 keV,,,,"Detection, Localization, X-ray; Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 251130B,,"Glowbug, TERI, Fermi/GBM, AstroSat/CZTI",78.82,-43.31,1.74,42907,2025-11-30,15:33:18,42953,82.0,,42953.0,"L?, L","42953, 43897, 42905, 42907, 42925",20-200 keV,,,,"Detection, Gamma-ray, Timing; Detection, Gamma-ray, Observation; Detection, Localization, Gamma-ray"
GRB 251130A,,Fermi/GBM,176.6,-60.4,5.1,42901,2025-11-30,00:43:07,42901,,,,L?,42901,,,,,"Detection, Localization, Gamma-ray"
GRB 251129B,,"GECAM-B, AstroSat/CZTI, Glowbug, IPN",124.862,76.391,,42960,2025-11-29,09:51:33.200000,42992,0.16,,42992.0,S,"42984, 42958, 42992, 42960",20-200 keV,,,,"Detection, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251128A,,"Swift/BAT, Fermi/GBM, AstroSat/CZTI, GECAM-B, SVOM/GRM, Insight-HXMT/HE",117.5,52.2,2.0,42865,2025-11-28,04:22:21,42865,47.0,,42881.0,"L?, L","42874, 42865, 42898, 42881, 42895, 42894, 42893","20-200 keV, 10-1000 keV, 15-5000 keV",,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, X-ray, Timing"
GRB 251127A,,"SVOM/GRM, Glowbug, Fermi/GBM",155.6,30.2,4.1,42852,2025-11-27,03:17:42,42852,17.5,4.0,42911.0,L?,"42911, 42872, 42852",15-5000 keV,,,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 251126B,,Fermi/GBM,321.15,-28.24,14.32,43003,2025-11-26,15:57:02.800000,43003,,,,L?,43003,,,,,"Detection, Localization, Gamma-ray"
GRB 251126A,,Swift/BAT,99.939,54.989,0.0216666666666666,42876,2025-11-26,19:10:36,42843,20.0,,42843.0,,"42843, 42876",15-150 keV,"3.6, 3.5","42871, 42863, 42855",,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251125B,,"Fermi/GBM, GECAM-B",237.5,57.5,3.1,42836,2025-11-25,20:23:45,42854,8.5,3.5,42854.0,L?,"42836, 42854",,<3,42842,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Spectroscopy, Timing"
GRB 251125A,,Fermi/GBM,161.9,-7.6,7.6,42830,2025-11-25,00:59:38,42830,,,,L?,42830,,,,,"Detection, Localization, Gamma-ray"
GRB 251124A,,Fermi/GBM,258.14,16.86,1.0,42820,2025-11-24,12:58:03,42826,,,,"L, L?","42820, 42826",,,,,"Detection, Localization, Gamma-ray"
GRB 251122B,,Fermi/GBM,336.52,-55.63,10.74,42823,2025-11-22,23:44:26.900000,42823,,,,S?,42823,,,,,"Detection, Localization, Gamma-ray"
GRB 251121A,,"Swift/BAT, Fermi/GBM, Glowbug",250.6,-19.8,19.5,42790,2025-11-21,16:30:57.936000,42794,0.06,,42794.0,"S, S?","42795, 42790, 42794, 42846",10-1000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 251118C,EP251118a,"Swift/BAT, Konus-Wind, Glowbug, SVOM/GRM",125.0,14.2,10.5,42771,2025-11-18,16:42:29,42765,29.0,22.0,42766.0,L,"42770, 42765, 42771, 42766","20-1500 keV, 15-5000 keV","1.217, 1.216, <2","43056, 42765, 42773, 42766, 42798, 42756, 42780",,"Detection, Localization, Gamma-ray, Spectroscopy, Observation; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Refined Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 251118B,,Fermi/GBM,242.6,26.9,10.0,42747,2025-11-18,22:40:05,42747,,,,L?,42747,,,,,"Detection, Localization, Gamma-ray"
GRB 251118A,,"TERI, Konus-Wind, GECAM-B, Fermi/GBM, NuSTAR, Glowbug, Fermi/LAT",160.08,-34.58,0.17,42752,2025-11-18,20:31:30,42784,47.1,,42784.0,"L, L?","44680, 43013, 42779, 42745, 42774, 42784, 42783, 42743, 42752",10-1000 keV,,,,"Detection, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Spectroscopy; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Observation"
GRB 251117A,,"Swift/BAT, Fermi/LAT, SVOM/GRM, Insight-HXMT/HE, Fermi/GBM, AstroSat/CZTI",331.3,5.57,0.72,42729,2025-11-17,12:19:52.140000,42737,1.3,,42737.0,"S, S?","42732, 42729, 42731, 42762, 42719, 42737, 42740","15-5000 keV, 10-1000 keV, 100-500 keV",,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing"
GRB 251116D,,"SVOM/GRM, Insight-HXMT/HE, Glowbug, AstroSat/CZTI",148.0,-37.6,3.7,42718,2025-11-16,19:22:33.960000,42718,14.3,,42718.0,L,"42759, 42734, 42718, 42715","15-5000 keV, 20-200 keV",,,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing"
GRB 251116A,,Fermi/GBM,27.3,-24.8,4.5,42700,2025-11-16,02:00:04,42700,,,,L?,42700,,,,,"Detection, Localization, Gamma-ray"
GRB 251115A,,"Fermi/GBM, Fermi/LAT",330.18,-9.18,0.36,42696,2025-11-15,03:20:02,42692,13.0,,42792.0,L?,"42692, 42696, 42792",10-1000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 251114B,,"GECAM-B, Insight-HXMT/HE, Fermi/GBM",160.1,-85.2,3.5,42687,2025-11-14,20:38:30,42687,3.4,2.0,42738.0,"S, L?","42738, 42739, 42687",,,,,"Detection, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray"
GRB 251114A,,Fermi/GBM,312.9,9.0,4.2,42676,2025-11-14,01:13:11,42676,,,,L?,42676,,,,,"Detection, Localization, Gamma-ray"
GRB 251113A,,"Fermi/GBM, Glowbug, AstroSat/CZTI, TERI",55.1,8.2,1.5,42671,2025-11-13,17:37:28.512000,42689,24.6,,42689.0,"L?, L","42672, 42671, 42689, 42688, 44679",20-200 keV,,,,"Detection, Localization, Gamma-ray, Spectroscopy; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Observation"
GRB 251112B,,MAXI/GSC,278.962,18.196,0.3,42662,2025-11-12,20:54:12,42662,,,,,42662,,,,,"Detection, Localization, X-ray, Upper Limit"
GRB 251112A,,Swift/BAT,274.081,24.158,0.0233333333333333,42686,2025-11-12,21:28:56,42656,60.0,,42656.0,,"42656, 42686",15-150 keV,,,,"Detection, Gamma-ray, X-ray, Optical, Timing, Upper Limit; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251108C,,"Konus-Wind, AstroSat/CZTI, IPN",,,,42685,2025-11-08,23:07:55,42680,8.5,,42685.0,L,"42685, 42664, 42680",20-200 keV,,,,"Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251108B,,Glowbug,283.3,48.0,7.8,42657,2025-11-08,03:59:18.952000,42657,15.4,,42657.0,,42657,,,,,"Detection, Localization, Gamma-ray, Timing"
GRB 251108A,,Fermi/GBM,144.63,8.03,3.23,42626,2025-11-08,21:19:46.260000,42626,,,,S?,42626,,,,,"Detection, Localization, Gamma-ray"
GRB 251106B,,"Insight-HXMT/HE, Glowbug, SVOM/GRM",,,,42633,2025-11-06,18:14:42.936000,42649,1.02,,42649.0,S,"42633, 42649, 42612",15-5000 keV,,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Timing, Observation"
GRB 251105C,,Fermi/GBM,212.18,37.29,11.28,42595,2025-11-05,18:45:56.050000,42595,,,,L?,42595,,,,,"Detection, Localization, Gamma-ray"
GRB 251105B,,"IPN, Insight-HXMT/HE, AstroSat/CZTI, SVOM/GRM, Fermi/GBM",279.5,3.6,14.3,42589,2025-11-05,00:58:34,42614,43.6,6.0,42586.0,"S?, L","42614, 42634, 42591, 42586, 42589","100-500 keV, 15-5000 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Timing, Observation"
GRB 251105A,,"Swift/BAT, AstroSat/CZTI, Fermi/GBM",69.6,7.1,3.3,42584,2025-11-05,04:41:06,42584,65.0,,42596.0,"L, L?","42593, 42631, 42596, 42584","20-200 keV, 10-1000 keV",,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 251103B,,"Swift/BAT, Fermi/GBM, AstroSat/CZTI",105.87,-24.871,0.0166666666666666,42636,2025-11-03,16:46:36,42556,200.0,,42556.0,"L?, L","42556, 42582, 42555, 42604, 42636","10-1000 keV, 20-200 keV, 15-150 keV",,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Upper Limit; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251102B,,"SVOM/GRM, Fermi/GBM",110.6,-69.7,4.2,42533,2025-11-02,21:15:53,42621,3.5,1.5,42621.0,L?,"42621, 42533",15-5000 keV,,,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 251102A,,"Fermi/GBM, AstroSat/CZTI",193.5,63.9,2.2,42531,2025-11-02,02:03:46,42531,16.2,1.0,42542.0,"L?, L","42531, 42542",20-200 keV,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 251031A,,"Swift/BAT, Fermi/GBM",188.3,-17.9,2.8,42526,2025-10-31,07:21:00,42525,45.0,,42530.0,L?,"42528, 42530, 42525, 42526",10-1000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy"
GRB 251028B,,"Fermi/GBM, Swift/BAT, Glowbug, CALET",337.82,45.75,3.69,42502,2025-10-28,07:48:04.672000,42507,22.5,,42507.0,"L?, L","42509, 42508, 42507, 42502, 42505",10-1000 keV,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Timing"
GRB 251028A,,"Fermi/GBM, GECAM-B, Konus-Wind, Glowbug, Insight-HXMT/HE, MAXI/GSC, SVOM/GRM",149.003,17.518,0.27,42498,2025-10-28,03:26:31,42506,2.0,,42506.0,"L, L?","42520, 42523, 42527, 42506, 42499, 42580, 42498, 42497, 42522","10-1000 keV, 15-5000 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy; Detection, Gamma-ray, X-ray, Timing; Detection, Localization, X-ray, Upper Limit; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 251026B,,Fermi/GBM,132.32,-12.21,8.04,42455,2025-10-26,07:18:53.330000,42513,6.0,,42513.0,S?,"42455, 42513",10-1000 keV,"0.044, 0.055","42519, 42470",,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 251025C,,"AstroSat/CZTI, Fermi/GBM, Glowbug, SVOM/GRM, CALET, TERI",170.7,54.9,2.2,42449,2025-10-25,23:08:37.270000,42467,38.6,2.6,42467.0,"L?, L","42469, 42449, 42490, 42524, 42467, 42603","20-200 keV, 15-5000 keV",,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Observation"
GRB 251024A,,Swift/BAT,306.666,-68.576,0.04,42444,2025-10-24,17:47:02.250000,42426,30.0,,42426.0,,"42426, 42444",15-150 keV,,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Upper Limit; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251023C,,"Glowbug, CALET, Swift/BAT, AstroSat/CZTI",333.9,58.4,2.1,42429,2025-10-23,16:24:17.240000,42429,30.7,,42429.0,L,"42429, 42414, 42412, 42419",20-200 keV,,,,"Detection, Localization, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 251023B,EP251023b,"MAXI/GSC, Glowbug, CALET",72.93,12.205,0.15,42392,2025-10-23,08:48:53.664000,42407,7.9,,42407.0,L,"42392, 42407, 42402",,,,,"Detection, Localization, X-ray, Upper Limit; Detection, X-ray, Timing; Detection, Timing"
GRB 251022A,,"Fermi/LAT, Konus-Wind, Fermi/GBM, SVOM/GRM, Swift/BAT",65.38,-19.31,0.32,42384,2025-10-22,22:34:15,42380,106.0,6.0,42484.0,"L, L?","42384, 42487, 42410, 42484, 42409, 42380","10-1000 keV, 15-5000 keV",<3,42423,,"Detection, Gamma-ray, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical; Detection, Localization, Gamma-ray"
GRB 251021A,EP251021b,Fermi/GBM,,,,42379,2025-10-21,14:28:05,42379,4.096,,42379.0,,42379,,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy"
GRB 251018A,,"Swift/BAT, Fermi/GBM",282.071,-37.028,0.05,42343,2025-10-18,03:12:00,42342,60.0,,42343.0,L?,"42343, 42364, 42342",10-1000 keV,,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Timing; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 251017A,,"Swift/BAT, Glowbug",335.404,7.048,0.0216666666666666,42366,2025-10-17,08:40:42.816000,42335,8.2,,42335.0,,"42366, 42335, 42322",15-150 keV,"4.327, 4.34, >4","42350, 42348, 42341",,"Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing"
GRB 251016B,,"Fermi/GBM, IPN, TERI, Konus-Wind, CALET, AstroSat/CZTI",183.64,59.6,1.0,42383,2025-10-16,23:58:57.450000,42320,5.9,0.5,42320.0,"L?, L","42383, 42316, 42403, 42602, 42448, 42320, 42324","10-1000 keV, 20-200 keV",,,,"Detection, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing"
GRB 251015B,,Fermi/GBM,355.1,-56.1,1.0,42293,2025-10-15,16:08:49,42293,,,,L?,42293,,,,,"Detection, Localization, Gamma-ray"
GRB 251015A,,"Swift/BAT, Fermi/GBM",245.007,-54.853,0.05,42290,2025-10-15,14:17:23,42290,10.0,,42290.0,L?,"42290, 42293",,,,,"Detection, Gamma-ray, X-ray, Optical, Timing, Upper Limit; Detection, Localization, Gamma-ray"
GRB 251014D,,Swift/BAT,323.933,-41.873,0.045,42315,2025-10-14,21:54:40.550000,42274,286.98,70.09,42315.0,,"42274, 42315",15-150 keV,,,,"Detection, Gamma-ray, X-ray, Optical; Detection, Localization, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 251014C,,Fermi/GBM,133.36,14.24,5.09,42272,2025-10-14,20:45:58.960000,42272,,,,L?,42272,,,,,"Detection, Localization, Gamma-ray"
GRB 251014B,,Swift/BAT,14.5954,-35.5802,0.05,42263,2025-10-14,04:47:21.170000,42263,2.048,,42263.0,S,42263,,,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Observation"
